"Collector","PathTemplate","NormalizedUri","Method","Command","ApiVersion","ApiReferenceLink","MatchState"
"Get-AccessReviewData.ps1","/identityGovernance/accessReviews/definitions","/identityGovernance/accessReviews/definitions","GET","Get-MgBetaIdentityGovernanceAccessReviewDefinition","beta","https://learn.microsoft.com/graph/api/accessreviewset-list-definitions?view=graph-rest-beta","Matched"
"Get-AccessReviewData.ps1","/identityGovernance/accessReviews/definitions","/identityGovernance/accessReviews/definitions","GET","Get-MgIdentityGovernanceAccessReviewDefinition","v1.0","https://learn.microsoft.com/graph/api/accessreviewset-list-definitions?view=graph-rest-1.0","Matched"
"Get-AccessReviewData.ps1","/identityGovernance/accessReviews/definitions","/identityGovernance/accessReviews/definitions","POST","New-MgBetaIdentityGovernanceAccessReviewDefinition","beta","https://learn.microsoft.com/graph/api/accessreviewset-post-definitions?view=graph-rest-beta","Matched"
"Get-AccessReviewData.ps1","/identityGovernance/accessReviews/definitions","/identityGovernance/accessReviews/definitions","POST","New-MgIdentityGovernanceAccessReviewDefinition","v1.0","https://learn.microsoft.com/graph/api/accessreviewset-post-definitions?view=graph-rest-1.0","Matched"
"Get-AccessReviewData.ps1","/identityGovernance/accessReviews/definitions/$defId/instances","/identityGovernance/accessReviews/definitions/{id}/instances","GET","Get-MgBetaIdentityGovernanceAccessReviewDefinitionInstance","beta","https://learn.microsoft.com/graph/api/accessreviewscheduledefinition-list-instances?view=graph-rest-beta","Matched"
"Get-AccessReviewData.ps1","/identityGovernance/accessReviews/definitions/$defId/instances","/identityGovernance/accessReviews/definitions/{id}/instances","GET","Get-MgIdentityGovernanceAccessReviewDefinitionInstance","v1.0","https://learn.microsoft.com/graph/api/accessreviewscheduledefinition-list-instances?view=graph-rest-1.0","Matched"
"Get-AccessReviewData.ps1","/identityGovernance/accessReviews/definitions/$defId/instances","/identityGovernance/accessReviews/definitions/{id}/instances","POST","New-MgBetaIdentityGovernanceAccessReviewDefinitionInstance","beta","","Matched"
"Get-AccessReviewData.ps1","/identityGovernance/accessReviews/definitions/$defId/instances","/identityGovernance/accessReviews/definitions/{id}/instances","POST","New-MgIdentityGovernanceAccessReviewDefinitionInstance","v1.0","","Matched"
"Get-AdminRoleData.ps1","/directoryRoles/$($role.Id)/members","/directoryRoles/{id}/members","GET","Get-MgBetaDirectoryRoleMember","beta","https://learn.microsoft.com/graph/api/directoryrole-list-members?view=graph-rest-beta","Matched"
"Get-AdminRoleData.ps1","/directoryRoles/$($role.Id)/members","/directoryRoles/{id}/members","GET","Get-MgDirectoryRoleMember","v1.0","https://learn.microsoft.com/graph/api/directoryrole-list-members?view=graph-rest-1.0","Matched"
"Get-AppDeployments.ps1","/deviceAppManagement/mobileApps","/deviceAppManagement/mobileApps","GET","Get-MgBetaDeviceAppManagementMobileApp","beta","","Matched"
"Get-AppDeployments.ps1","/deviceAppManagement/mobileApps","/deviceAppManagement/mobileApps","GET","Get-MgDeviceAppManagementMobileApp","v1.0","https://learn.microsoft.com/graph/api/intune-apps-managedmobilelobapp-list?view=graph-rest-1.0","Matched"
"Get-AppDeployments.ps1","/deviceAppManagement/mobileApps","/deviceAppManagement/mobileApps","POST","New-MgBetaDeviceAppManagementMobileApp","beta","","Matched"
"Get-AppDeployments.ps1","/deviceAppManagement/mobileApps","/deviceAppManagement/mobileApps","POST","New-MgDeviceAppManagementMobileApp","v1.0","https://learn.microsoft.com/graph/api/intune-apps-macoslobapp-create?view=graph-rest-1.0","Matched"
"Get-AppDeployments.ps1","/deviceAppManagement/mobileApps/$($app.id)/assignments","/deviceAppManagement/mobileApps/{id}/assignments","GET","Get-MgBetaDeviceAppManagementMobileAppAssignment","beta","","Matched"
"Get-AppDeployments.ps1","/deviceAppManagement/mobileApps/$($app.id)/assignments","/deviceAppManagement/mobileApps/{id}/assignments","GET","Get-MgDeviceAppManagementMobileAppAssignment","v1.0","https://learn.microsoft.com/graph/api/intune-apps-mobileappassignment-list?view=graph-rest-1.0","Matched"
"Get-AppDeployments.ps1","/deviceAppManagement/mobileApps/$($app.id)/assignments","/deviceAppManagement/mobileApps/{id}/assignments","POST","New-MgBetaDeviceAppManagementMobileAppAssignment","beta","","Matched"
"Get-AppDeployments.ps1","/deviceAppManagement/mobileApps/$($app.id)/assignments","/deviceAppManagement/mobileApps/{id}/assignments","POST","New-MgDeviceAppManagementMobileAppAssignment","v1.0","https://learn.microsoft.com/graph/api/intune-apps-mobileappassignment-create?view=graph-rest-1.0","Matched"
"Get-AppDeployments.ps1","/deviceAppManagement/mobileApps/$($app.id)/deviceStatuses","/deviceAppManagement/mobileApps/{id}/deviceStatuses","","","","","NoMatch"
"Get-AppDeployments.ps1","/deviceAppManagement/mobileApps/$AppId/installSummary","/deviceAppManagement/mobileApps/{id}/installSummary","","","","","NoMatch"
"Get-AppDeployments.ps1","/deviceAppManagement/mobileApps/$AppId/userStatuses","/deviceAppManagement/mobileApps/{id}/userStatuses","","","","","NoMatch"
"Get-AppDeployments.ps1","/deviceManagement/reports/getAppInstallStatusReport","/deviceManagement/reports/getAppInstallStatusReport","","","","","NoMatch"
"Get-AppDeployments.ps1","/deviceManagement/reports/getAppInstallSummaryReport","/deviceManagement/reports/getAppInstallSummaryReport","","","","","NoMatch"
"Get-AppSignInData.ps1","/auditLogs/signIns","/auditLogs/signIns","GET","Get-MgAuditLogSignIn","v1.0","https://learn.microsoft.com/graph/api/signin-list?view=graph-rest-1.0","Matched"
"Get-AppSignInData.ps1","/auditLogs/signIns","/auditLogs/signIns","GET","Get-MgBetaAuditLogSignIn","beta","https://learn.microsoft.com/graph/api/signin-list?view=graph-rest-beta","Matched"
"Get-ASRRules.ps1","/deviceManagement/configurationPolicies","/deviceManagement/configurationPolicies","GET","Get-MgBetaDeviceManagementConfigurationPolicy","beta","","Matched"
"Get-ASRRules.ps1","/deviceManagement/configurationPolicies","/deviceManagement/configurationPolicies","POST","New-MgBetaDeviceManagementConfigurationPolicy","beta","","Matched"
"Get-ASRRules.ps1","/deviceManagement/configurationPolicies/$($policy.id)/settings","/deviceManagement/configurationPolicies/{id}/settings","GET","Get-MgBetaDeviceManagementConfigurationPolicySetting","beta","","Matched"
"Get-ASRRules.ps1","/deviceManagement/configurationPolicies/$($policy.id)/settings","/deviceManagement/configurationPolicies/{id}/settings","POST","New-MgBetaDeviceManagementConfigurationPolicySetting","beta","","Matched"
"Get-ASRRules.ps1","/deviceManagement/intents","/deviceManagement/intents","GET","Get-MgBetaDeviceManagementIntent","beta","","Matched"
"Get-ASRRules.ps1","/deviceManagement/intents","/deviceManagement/intents","POST","New-MgBetaDeviceManagementIntent","beta","","Matched"
"Get-ASRRules.ps1","/deviceManagement/intents/$($intent.id)/settings","/deviceManagement/intents/{id}/settings","GET","Get-MgBetaDeviceManagementIntentSetting","beta","","Matched"
"Get-ASRRules.ps1","/deviceManagement/intents/$($intent.id)/settings","/deviceManagement/intents/{id}/settings","POST","New-MgBetaDeviceManagementIntentSetting","beta","","Matched"
"Get-ASRRules.ps1","/deviceManagement/templates","/deviceManagement/templates","GET","Get-MgBetaDeviceManagementTemplate","beta","","Matched"
"Get-ASRRules.ps1","/deviceManagement/templates","/deviceManagement/templates","POST","New-MgBetaDeviceManagementTemplate","beta","","Matched"
"Get-AutopilotData.ps1","/deviceManagement/autopilotEvents","/deviceManagement/autopilotEvents","GET","Get-MgBetaDeviceManagementAutopilotEvent","beta","","Matched"
"Get-AutopilotData.ps1","/deviceManagement/autopilotEvents","/deviceManagement/autopilotEvents","POST","New-MgBetaDeviceManagementAutopilotEvent","beta","","Matched"
"Get-AutopilotData.ps1","/deviceManagement/windowsAutopilotDeviceIdentities","/deviceManagement/windowsAutopilotDeviceIdentities","GET","Get-MgBetaDeviceManagementWindowsAutopilotDeviceIdentity","beta","","Matched"
"Get-AutopilotData.ps1","/deviceManagement/windowsAutopilotDeviceIdentities","/deviceManagement/windowsAutopilotDeviceIdentities","GET","Get-MgDeviceManagementWindowsAutopilotDeviceIdentity","v1.0","https://learn.microsoft.com/graph/api/intune-enrollment-windowsautopilotdeviceidentity-list?view=graph-rest-1.0","Matched"
"Get-AutopilotData.ps1","/deviceManagement/windowsAutopilotDeviceIdentities","/deviceManagement/windowsAutopilotDeviceIdentities","POST","New-MgBetaDeviceManagementWindowsAutopilotDeviceIdentity","beta","","Matched"
"Get-AutopilotData.ps1","/deviceManagement/windowsAutopilotDeviceIdentities","/deviceManagement/windowsAutopilotDeviceIdentities","POST","New-MgDeviceManagementWindowsAutopilotDeviceIdentity","v1.0","https://learn.microsoft.com/graph/api/intune-enrollment-windowsautopilotdeviceidentity-create?view=graph-rest-1.0","Matched"
"Get-BitLockerStatus.ps1","/deviceManagement/managedDeviceEncryptionStates","/deviceManagement/managedDeviceEncryptionStates","GET","Get-MgBetaDeviceManagementManagedDeviceEncryptionState","beta","","Matched"
"Get-BitLockerStatus.ps1","/deviceManagement/managedDeviceEncryptionStates","/deviceManagement/managedDeviceEncryptionStates","POST","New-MgBetaDeviceManagementManagedDeviceEncryptionState","beta","","Matched"
"Get-BitLockerStatus.ps1","/deviceManagement/managedDevices","/deviceManagement/managedDevices","GET","Get-MgBetaDeviceManagementManagedDevice","beta","","Matched"
"Get-BitLockerStatus.ps1","/deviceManagement/managedDevices","/deviceManagement/managedDevices","GET","Get-MgDeviceManagementManagedDevice","v1.0","","Matched"
"Get-BitLockerStatus.ps1","/deviceManagement/managedDevices","/deviceManagement/managedDevices","POST","New-MgBetaDeviceManagementManagedDevice","beta","","Matched"
"Get-BitLockerStatus.ps1","/deviceManagement/managedDevices","/deviceManagement/managedDevices","POST","New-MgDeviceManagementManagedDevice","v1.0","https://learn.microsoft.com/graph/api/intune-devices-manageddevice-create?view=graph-rest-1.0","Matched"
"Get-BitLockerStatus.ps1","/informationProtection/bitlocker/recoveryKeys","/informationProtection/bitlocker/recoveryKeys","GET","Get-MgBetaInformationProtectionBitlockerRecoveryKey","beta","https://learn.microsoft.com/graph/api/bitlocker-list-recoverykeys?view=graph-rest-beta","Matched"
"Get-BitLockerStatus.ps1","/informationProtection/bitlocker/recoveryKeys","/informationProtection/bitlocker/recoveryKeys","GET","Get-MgInformationProtectionBitlockerRecoveryKey","v1.0","https://learn.microsoft.com/graph/api/bitlocker-list-recoverykeys?view=graph-rest-1.0","Matched"
"Get-CompliancePolicies.ps1","/deviceManagement/deviceCompliancePolicies","/deviceManagement/deviceCompliancePolicies","GET","Get-MgBetaDeviceManagementDeviceCompliancePolicy","beta","","Matched"
"Get-CompliancePolicies.ps1","/deviceManagement/deviceCompliancePolicies","/deviceManagement/deviceCompliancePolicies","GET","Get-MgDeviceManagementDeviceCompliancePolicy","v1.0","https://learn.microsoft.com/graph/api/intune-deviceconfig-devicecompliancepolicy-list?view=graph-rest-1.0","Matched"
"Get-CompliancePolicies.ps1","/deviceManagement/deviceCompliancePolicies","/deviceManagement/deviceCompliancePolicies","POST","New-MgBetaDeviceManagementDeviceCompliancePolicy","beta","","Matched"
"Get-CompliancePolicies.ps1","/deviceManagement/deviceCompliancePolicies","/deviceManagement/deviceCompliancePolicies","POST","New-MgDeviceManagementDeviceCompliancePolicy","v1.0","https://learn.microsoft.com/graph/api/intune-deviceconfig-windowsphone81compliancepolicy-create?view=graph-rest-1.0","Matched"
"Get-CompliancePolicies.ps1","/deviceManagement/deviceCompliancePolicies/$($policy.id)/assignments","/deviceManagement/deviceCompliancePolicies/{id}/assignments","GET","Get-MgBetaDeviceManagementDeviceCompliancePolicyAssignment","beta","","Matched"
"Get-CompliancePolicies.ps1","/deviceManagement/deviceCompliancePolicies/$($policy.id)/assignments","/deviceManagement/deviceCompliancePolicies/{id}/assignments","GET","Get-MgDeviceManagementDeviceCompliancePolicyAssignment","v1.0","https://learn.microsoft.com/graph/api/intune-deviceconfig-devicecompliancepolicyassignment-list?view=graph-rest-1.0","Matched"
"Get-CompliancePolicies.ps1","/deviceManagement/deviceCompliancePolicies/$($policy.id)/assignments","/deviceManagement/deviceCompliancePolicies/{id}/assignments","POST","New-MgBetaDeviceManagementDeviceCompliancePolicyAssignment","beta","","Matched"
"Get-CompliancePolicies.ps1","/deviceManagement/deviceCompliancePolicies/$($policy.id)/assignments","/deviceManagement/deviceCompliancePolicies/{id}/assignments","POST","New-MgDeviceManagementDeviceCompliancePolicyAssignment","v1.0","https://learn.microsoft.com/graph/api/intune-deviceconfig-devicecompliancepolicyassignment-create?view=graph-rest-1.0","Matched"
"Get-CompliancePolicies.ps1","/deviceManagement/deviceCompliancePolicies/$($policy.id)/deviceSettingStateSummaries","/deviceManagement/deviceCompliancePolicies/{id}/deviceSettingStateSummaries","GET","Get-MgBetaDeviceManagementDeviceCompliancePolicyDeviceSettingStateSummary","beta","","Matched"
"Get-CompliancePolicies.ps1","/deviceManagement/deviceCompliancePolicies/$($policy.id)/deviceSettingStateSummaries","/deviceManagement/deviceCompliancePolicies/{id}/deviceSettingStateSummaries","GET","Get-MgDeviceManagementDeviceCompliancePolicyDeviceSettingStateSummary","v1.0","","Matched"
"Get-CompliancePolicies.ps1","/deviceManagement/deviceCompliancePolicies/$($policy.id)/deviceSettingStateSummaries","/deviceManagement/deviceCompliancePolicies/{id}/deviceSettingStateSummaries","POST","New-MgBetaDeviceManagementDeviceCompliancePolicyDeviceSettingStateSummary","beta","","Matched"
"Get-CompliancePolicies.ps1","/deviceManagement/deviceCompliancePolicies/$($policy.id)/deviceSettingStateSummaries","/deviceManagement/deviceCompliancePolicies/{id}/deviceSettingStateSummaries","POST","New-MgDeviceManagementDeviceCompliancePolicyDeviceSettingStateSummary","v1.0","","Matched"
"Get-CompliancePolicies.ps1","/deviceManagement/deviceCompliancePolicies/$($policy.id)/deviceStatuses","/deviceManagement/deviceCompliancePolicies/{id}/deviceStatuses","GET","Get-MgBetaDeviceManagementDeviceCompliancePolicyDeviceStatus","beta","","Matched"
"Get-CompliancePolicies.ps1","/deviceManagement/deviceCompliancePolicies/$($policy.id)/deviceStatuses","/deviceManagement/deviceCompliancePolicies/{id}/deviceStatuses","GET","Get-MgDeviceManagementDeviceCompliancePolicyDeviceStatus","v1.0","https://learn.microsoft.com/graph/api/intune-deviceconfig-devicecompliancedevicestatus-list?view=graph-rest-1.0","Matched"
"Get-CompliancePolicies.ps1","/deviceManagement/deviceCompliancePolicies/$($policy.id)/deviceStatuses","/deviceManagement/deviceCompliancePolicies/{id}/deviceStatuses","POST","New-MgBetaDeviceManagementDeviceCompliancePolicyDeviceStatus","beta","","Matched"
"Get-CompliancePolicies.ps1","/deviceManagement/deviceCompliancePolicies/$($policy.id)/deviceStatuses","/deviceManagement/deviceCompliancePolicies/{id}/deviceStatuses","POST","New-MgDeviceManagementDeviceCompliancePolicyDeviceStatus","v1.0","https://learn.microsoft.com/graph/api/intune-deviceconfig-devicecompliancedevicestatus-create?view=graph-rest-1.0","Matched"
"Get-CompliancePolicies.ps1","/deviceManagement/deviceCompliancePolicies/$($policy.id)/deviceStatusOverview","/deviceManagement/deviceCompliancePolicies/{id}/deviceStatusOverview","DELETE","Remove-MgBetaDeviceManagementDeviceCompliancePolicyDeviceStatusOverview","beta","","Matched"
"Get-CompliancePolicies.ps1","/deviceManagement/deviceCompliancePolicies/$($policy.id)/deviceStatusOverview","/deviceManagement/deviceCompliancePolicies/{id}/deviceStatusOverview","DELETE","Remove-MgDeviceManagementDeviceCompliancePolicyDeviceStatusOverview","v1.0","","Matched"
"Get-CompliancePolicies.ps1","/deviceManagement/deviceCompliancePolicies/$($policy.id)/deviceStatusOverview","/deviceManagement/deviceCompliancePolicies/{id}/deviceStatusOverview","GET","Get-MgBetaDeviceManagementDeviceCompliancePolicyDeviceStatusOverview","beta","","Matched"
"Get-CompliancePolicies.ps1","/deviceManagement/deviceCompliancePolicies/$($policy.id)/deviceStatusOverview","/deviceManagement/deviceCompliancePolicies/{id}/deviceStatusOverview","GET","Get-MgDeviceManagementDeviceCompliancePolicyDeviceStatusOverview","v1.0","https://learn.microsoft.com/graph/api/intune-deviceconfig-devicecompliancedeviceoverview-get?view=graph-rest-1.0","Matched"
"Get-CompliancePolicies.ps1","/deviceManagement/deviceCompliancePolicies/$($policy.id)/deviceStatusOverview","/deviceManagement/deviceCompliancePolicies/{id}/deviceStatusOverview","PATCH","Update-MgBetaDeviceManagementDeviceCompliancePolicyDeviceStatusOverview","beta","","Matched"
"Get-CompliancePolicies.ps1","/deviceManagement/deviceCompliancePolicies/$($policy.id)/deviceStatusOverview","/deviceManagement/deviceCompliancePolicies/{id}/deviceStatusOverview","PATCH","Update-MgDeviceManagementDeviceCompliancePolicyDeviceStatusOverview","v1.0","https://learn.microsoft.com/graph/api/intune-deviceconfig-devicecompliancedeviceoverview-update?view=graph-rest-1.0","Matched"
"Get-ConfigurationProfiles.ps1","/deviceManagement/configurationPolicies","/deviceManagement/configurationPolicies","GET","Get-MgBetaDeviceManagementConfigurationPolicy","beta","","Matched"
"Get-ConfigurationProfiles.ps1","/deviceManagement/configurationPolicies","/deviceManagement/configurationPolicies","POST","New-MgBetaDeviceManagementConfigurationPolicy","beta","","Matched"
"Get-ConfigurationProfiles.ps1","/deviceManagement/configurationPolicies/$($profile.id)/assignments","/deviceManagement/configurationPolicies/{id}/assignments","GET","Get-MgBetaDeviceManagementConfigurationPolicyAssignment","beta","","Matched"
"Get-ConfigurationProfiles.ps1","/deviceManagement/configurationPolicies/$($profile.id)/assignments","/deviceManagement/configurationPolicies/{id}/assignments","POST","New-MgBetaDeviceManagementConfigurationPolicyAssignment","beta","","Matched"
"Get-ConfigurationProfiles.ps1","/deviceManagement/configurationPolicies/$($profile.id)/deviceStatuses","/deviceManagement/configurationPolicies/{id}/deviceStatuses","","","","","NoMatch"
"Get-ConfigurationProfiles.ps1","/deviceManagement/configurationPolicies/$PolicyId/deviceStatuses","/deviceManagement/configurationPolicies/{id}/deviceStatuses","","","","","NoMatch"
"Get-ConfigurationProfiles.ps1","/deviceManagement/deviceConfigurations","/deviceManagement/deviceConfigurations","GET","Get-MgBetaDeviceManagementDeviceConfiguration","beta","","Matched"
"Get-ConfigurationProfiles.ps1","/deviceManagement/deviceConfigurations","/deviceManagement/deviceConfigurations","GET","Get-MgDeviceManagementDeviceConfiguration","v1.0","https://learn.microsoft.com/graph/api/intune-deviceconfig-windows10endpointprotectionconfiguration-list?view=graph-rest-1.0","Matched"
"Get-ConfigurationProfiles.ps1","/deviceManagement/deviceConfigurations","/deviceManagement/deviceConfigurations","POST","New-MgBetaDeviceManagementDeviceConfiguration","beta","","Matched"
"Get-ConfigurationProfiles.ps1","/deviceManagement/deviceConfigurations","/deviceManagement/deviceConfigurations","POST","New-MgDeviceManagementDeviceConfiguration","v1.0","https://learn.microsoft.com/graph/api/intune-deviceconfig-windows10enterprisemodernappmanagementconfiguration-create?view=graph-rest-1.0","Matched"
"Get-ConfigurationProfiles.ps1","/deviceManagement/deviceConfigurations/$($profile.id)/assignments","/deviceManagement/deviceConfigurations/{id}/assignments","GET","Get-MgBetaDeviceManagementDeviceConfigurationAssignment","beta","","Matched"
"Get-ConfigurationProfiles.ps1","/deviceManagement/deviceConfigurations/$($profile.id)/assignments","/deviceManagement/deviceConfigurations/{id}/assignments","GET","Get-MgDeviceManagementDeviceConfigurationAssignment","v1.0","https://learn.microsoft.com/graph/api/intune-deviceconfig-deviceconfigurationassignment-list?view=graph-rest-1.0","Matched"
"Get-ConfigurationProfiles.ps1","/deviceManagement/deviceConfigurations/$($profile.id)/assignments","/deviceManagement/deviceConfigurations/{id}/assignments","POST","New-MgBetaDeviceManagementDeviceConfigurationAssignment","beta","","Matched"
"Get-ConfigurationProfiles.ps1","/deviceManagement/deviceConfigurations/$($profile.id)/assignments","/deviceManagement/deviceConfigurations/{id}/assignments","POST","New-MgDeviceManagementDeviceConfigurationAssignment","v1.0","https://learn.microsoft.com/graph/api/intune-deviceconfig-deviceconfigurationassignment-create?view=graph-rest-1.0","Matched"
"Get-ConfigurationProfiles.ps1","/deviceManagement/deviceConfigurations/$($profile.id)/deviceSettingStateSummaries","/deviceManagement/deviceConfigurations/{id}/deviceSettingStateSummaries","GET","Get-MgBetaDeviceManagementDeviceConfigurationDeviceSettingStateSummary","beta","","Matched"
"Get-ConfigurationProfiles.ps1","/deviceManagement/deviceConfigurations/$($profile.id)/deviceSettingStateSummaries","/deviceManagement/deviceConfigurations/{id}/deviceSettingStateSummaries","GET","Get-MgDeviceManagementDeviceConfigurationDeviceSettingStateSummary","v1.0","https://learn.microsoft.com/graph/api/intune-deviceconfig-settingstatedevicesummary-list?view=graph-rest-1.0","Matched"
"Get-ConfigurationProfiles.ps1","/deviceManagement/deviceConfigurations/$($profile.id)/deviceSettingStateSummaries","/deviceManagement/deviceConfigurations/{id}/deviceSettingStateSummaries","POST","New-MgBetaDeviceManagementDeviceConfigurationDeviceSettingStateSummary","beta","","Matched"
"Get-ConfigurationProfiles.ps1","/deviceManagement/deviceConfigurations/$($profile.id)/deviceSettingStateSummaries","/deviceManagement/deviceConfigurations/{id}/deviceSettingStateSummaries","POST","New-MgDeviceManagementDeviceConfigurationDeviceSettingStateSummary","v1.0","https://learn.microsoft.com/graph/api/intune-deviceconfig-settingstatedevicesummary-create?view=graph-rest-1.0","Matched"
"Get-ConfigurationProfiles.ps1","/deviceManagement/deviceConfigurations/$($profile.id)/deviceStatuses","/deviceManagement/deviceConfigurations/{id}/deviceStatuses","GET","Get-MgBetaDeviceManagementDeviceConfigurationDeviceStatus","beta","","Matched"
"Get-ConfigurationProfiles.ps1","/deviceManagement/deviceConfigurations/$($profile.id)/deviceStatuses","/deviceManagement/deviceConfigurations/{id}/deviceStatuses","GET","Get-MgDeviceManagementDeviceConfigurationDeviceStatus","v1.0","https://learn.microsoft.com/graph/api/intune-deviceconfig-deviceconfigurationdevicestatus-list?view=graph-rest-1.0","Matched"
"Get-ConfigurationProfiles.ps1","/deviceManagement/deviceConfigurations/$($profile.id)/deviceStatuses","/deviceManagement/deviceConfigurations/{id}/deviceStatuses","POST","New-MgBetaDeviceManagementDeviceConfigurationDeviceStatus","beta","","Matched"
"Get-ConfigurationProfiles.ps1","/deviceManagement/deviceConfigurations/$($profile.id)/deviceStatuses","/deviceManagement/deviceConfigurations/{id}/deviceStatuses","POST","New-MgDeviceManagementDeviceConfigurationDeviceStatus","v1.0","https://learn.microsoft.com/graph/api/intune-deviceconfig-deviceconfigurationdevicestatus-create?view=graph-rest-1.0","Matched"
"Get-ConfigurationProfiles.ps1","/deviceManagement/deviceConfigurations/$($profile.id)/deviceStatusOverview","/deviceManagement/deviceConfigurations/{id}/deviceStatusOverview","DELETE","Remove-MgBetaDeviceManagementDeviceConfigurationDeviceStatusOverview","beta","","Matched"
